id;time;subscriber;aprefix;destination;invoicegroup;prefix;pbx;direction;volumetimesecs;price;free;forward;servingnetwork;reason;billed;zone
935201249;06-03-2019 11:26;46840308799;Sweden;346351070XX;Udland Mobil;Spain-Mobile;firebrand-;ip-pstn;60;0,7;no;0;;0;yes;Europa 1 Mobil
935201336;06-03-2019 11:27;46840836382;Sweden;461044752XX;Udland;Sweden;firebrand-;ip-pstn;360;0,62;no;0;;0;yes;Norden
935201427;06-03-2019 11:27;46840838262;Sweden;468536850XX;Udland;Sweden;firebrand-;ip-pstn;120;0,34;no;0;;0;yes;Norden
935202000;06-03-2019 11:29;4578772919;Danmark Fastnet;45232344XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;360;2,45;no;0;;0;yes;Norden Mobil (DK)
935202219;06-03-2019 11:29;46840836380;Sweden;4479797570XX;Udland Mobil;United Kingdom-Mobile;firebrand-;ip-pstn;360;3,2;no;0;;0;yes;Europa 1 Mobil
935202239;06-03-2019 11:29;46840308799;Sweden;467334014XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
935202399;06-03-2019 11:30;4569669632;Danmark Fastnet;45201478XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
935202716;06-03-2019 11:31;46840308799;Sweden;467296725XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
935202782;06-03-2019 11:31;46840308799;Sweden;46176181XX;Udland;Sweden;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden
935203695;06-03-2019 11:35;46840308799;Sweden;468546703XX;Udland;Sweden;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
935204538;06-03-2019 11:38;46840836382;Sweden;467022924XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
935204645;06-03-2019 11:38;46850926912;Sweden;467350701XX;Udland Mobil;Sweden-Mobile;rackpeoplehq-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
935205181;06-03-2019 11:40;4569669636;Danmark Fastnet;45201478XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
935205412;06-03-2019 11:41;4578772918;Danmark Fastnet;45238547XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
935207059;06-03-2019 11:47;4533456544;Danmark Fastnet;45204492XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
935207321;06-03-2019 11:48;4578772918;Danmark Fastnet;45414177XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
935208903;06-03-2019 11:54;46840838262;Sweden;468536850XX;Udland;Sweden;firebrand-;ip-pstn;120;0,34;no;0;;0;yes;Norden
935209798;06-03-2019 11:57;4578772918;Danmark Fastnet;45262759XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;0;0,05;no;0;;0;yes;Norden Mobil (DK)
